x,y,gripper_z,real_x,real_y,y_diff,x_dist,y_centered_abs
0.4585097136719121,0.5777752177221439,0.35,0.4587755787441294,0.6877434537223758,0.10996823600023187,4.541490286328088,0.07777521772214391
0.5514864761701203,0.5076654193731155,0.3,0.5572644789168774,0.5735767758366718,0.06591135646355628,4.44851352382988,0.00766541937311549
0.5776437663362025,0.4741490647382365,0.29,0.5776832745805116,0.5479206603445124,0.07377159560627589,4.422356233663797,0.02585093526176352
0.6009581656422263,0.3675843007338859,0.31,0.6010324141673941,0.4486941395383331,0.08110983880444717,4.3990418343577735,0.13241569926611407
0.5984787865231449,0.3361122114364192,0.38,0.6060451272330998,0.4647300049328062,0.12861779349638702,4.401521213476855,0.16388778856358083
0.7577175442898806,0.2285729633994765,0.32,0.7995759067216089,0.3590536457794792,0.13048068238000268,4.24228245571012,0.2714270366005235
0.7515281466467117,0.2890246104098898,0.38,0.7716072390221874,0.4280794289433891,0.13905481853349927,4.248471853353288,0.2109753895901102
0.7255561058016551,0.6501207371900267,0.35,0.6909751273839086,0.7799615597501194,0.12984082256009266,4.274443894198345,0.15012073719002672
0.6939772449916273,0.7493627126768336,0.295,0.6624859678730315,0.8600235411344266,0.11066082845759295,4.306022755008373,0.24936271267683363
0.6985780943436773,0.7354874383235313,0.3,0.659644149492711,0.8627820408878888,0.12729460256435754,4.301421905656323,0.23548743832353125
